Model,Accuracy,Precision (Macro),Recall (Macro),F1-Score (Macro)
gradient_boosting,0.996011396011396,0.9956182047165879,0.9957105756841381,0.9956632798209021
random_forest,0.9937321937321937,0.9934058663040018,0.9938721317604332,0.9936384198246803
decision_tree,0.9880341880341881,0.988878548084779,0.9861787070974116,0.9875006252339813
svm,0.8962962962962963,0.8882726480244211,0.8824341252985036,0.8849045739343695
logistic_regression,0.8905982905982905,0.8895313619257187,0.8776322522910069,0.8833300824656583
naive_bayes,0.8216524216524217,0.8036298144524018,0.8259592026474696,0.8113505141746226
knn,0.7897435897435897,0.7784617523493457,0.7131691676093096,0.7367770970624887
